song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Classico,2015-05-27T14:28:54Z,0:58,52,2,https://open.spotify.com/track/1KRdD8IpxMXGB2883OVP2Q,https://p.scdn.co/mp3-preview/a24ca959cda5da72bb5c76ff4946dbb60bf53b56?cid=2490920ce5574a1a9b97a3e366c39dd3,The Pick Of Destiny,2006-11-02,15,https://i.scdn.co/image/ab67616d00001e02bc90b4b507565e1fae75033d,https://open.spotify.com/album/3tYcwViLCWsT1ssa5p7V7A,Tenacious D,https://open.spotify.com/artist/1XpDYCrUJnvCo9Ez6yeMWh
Lonely Day,2015-05-27T14:28:53Z,2:47,71,11,https://open.spotify.com/track/1VNWaY3uNfoeWqb5U8x2QX,https://p.scdn.co/mp3-preview/7b1d4113a52d9059d6999dd11f05557064be9306?cid=2490920ce5574a1a9b97a3e366c39dd3,Hypnotize,2005-11-22,12,https://i.scdn.co/image/ab67616d00001e02f5e7b2e5adaa87430a3eccff,https://open.spotify.com/album/3QxX3NbWyLlLG6lP1xveL3,System Of A Down,https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1
Blurred Lines,2015-05-27T14:28:50Z,4:23,0,1,https://open.spotify.com/track/0Rz1KXsP4bhGxs0ffySSSn,,Blurred Lines (Deluxe),2013-01-01,14,https://i.scdn.co/image/ab67616d00001e02a8136b89b1903ef883ce3e77,https://open.spotify.com/album/0F2MMiljdGFIOIkImGVYoh,Robin Thicke,https://open.spotify.com/artist/0ZrpamOxcZybMHGg1AYtHP
Whole Lotta Love (feat. Chris Cornell),2015-05-27T14:28:50Z,3:51,54,1,https://open.spotify.com/track/0u6lRvvxbrAYEdkUFKmHp6,https://p.scdn.co/mp3-preview/c07038554fec209e7dedf1c8c70e7b019f2fbd5f?cid=2490920ce5574a1a9b97a3e366c39dd3,Guitar Heaven: The Greatest Guitar Classics Of All Time (Deluxe Version),2010-09-20,14,https://i.scdn.co/image/ab67616d00001e02f93cc5905cdd5cb974d4e380,https://open.spotify.com/album/4YltsTclvvB9OJbSinueLB,Santana,https://open.spotify.com/artist/6GI52t8N5F02MxU0g5U69P
Thundersteel,2015-05-27T14:28:50Z,3:49,36,1,https://open.spotify.com/track/3PtoySboyS2gTmvFPy6iDi,https://p.scdn.co/mp3-preview/d7b34bef382e92e4dfa34bcb098757fa2cae54fb?cid=2490920ce5574a1a9b97a3e366c39dd3,Thundersteel,1988-09-03,9,https://i.scdn.co/image/ab67616d00001e024c09f67834fbe6626c40bb9a,https://open.spotify.com/album/0zmiGhL8QcuAY5cbet7XbM,Riot,https://open.spotify.com/artist/2TTfkn3oA5dSvqmvVxjUxR
Snow (Hey Oh),2015-05-27T14:28:50Z,5:34,62,1,https://open.spotify.com/track/6fgbQt13JlpN59PytgTMsA,https://p.scdn.co/mp3-preview/958b3e3c13c8c1fed008400ec2a6b821a821cccc?cid=2490920ce5574a1a9b97a3e366c39dd3,Snow (Hey Oh),2006-12-19,4,https://i.scdn.co/image/ab67616d00001e027056328c4d7eee31b3677e98,https://open.spotify.com/album/45AEwWiI7JPZolwc2Xwaoc,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
Welcome to My Life,2015-05-27T14:28:50Z,3:26,69,2,https://open.spotify.com/track/10rChmECwPcvTTj4w07hq4,https://p.scdn.co/mp3-preview/3c5d0c1e8f9385ebdedecb37eda8b389ba00695c?cid=2490920ce5574a1a9b97a3e366c39dd3,Still Not Getting Any,2004-10-26,13,https://i.scdn.co/image/ab67616d00001e02fa258256ced1ce3a7fa0246a,https://open.spotify.com/album/6RSpKXfvVzCqtLi6VySxsU,Simple Plan,https://open.spotify.com/artist/2p4FqHnazRucYQHyDCdBrJ
Snow (Hey Oh),2015-05-27T14:28:50Z,5:34,0,2,https://open.spotify.com/track/3VjxfJcJps8hwpPH28tF0E,,Stadium Arcadium (Walmart.com Exclusive),2006-05-09,29,https://i.scdn.co/image/ab67616d00001e02a9cd83856354db4e1959d86b,https://open.spotify.com/album/0vjz5o5wo9RP0ycNU1j1Jv,Red Hot Chili Peppers,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5
Recess (feat. Fatman Scoop and Michael Angelakos) - Flux Pavilion Remix,2015-05-27T14:28:50Z,3:47,37,4,https://open.spotify.com/track/4RJHa0uZqGV4bGyKQe2wcM,https://p.scdn.co/mp3-preview/25b25f52d64033979effdacf32e6468c904875b4?cid=2490920ce5574a1a9b97a3e366c39dd3,Recess Remixes (feat. Fatman Scoop and Michael Angelakos),2014-07-07,4,https://i.scdn.co/image/ab67616d00001e028e7f89c92c3e9c174fdf3158,https://open.spotify.com/album/0BrBRhZp5DDgIThTc1vl8n,Skrillex,https://open.spotify.com/artist/5he5w2lnU9x7JFhnwcekXX
Moonchild,2015-05-27T14:28:50Z,4:44,0,4,https://open.spotify.com/track/788AStPNtuuK5CxD5enb2O,,Pure... Guitar Heroes,2010-12-10,68,https://i.scdn.co/image/ab67616d00001e02e15c257226c56421f74fe43d,https://open.spotify.com/album/56KOCXxFdiqTnCRWcpLJSd,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
"Fairytale Gone Bad - Live From Columbiahalle,Berlin,Germany/2011",2015-05-27T14:28:50Z,5:40,5,5,https://open.spotify.com/track/0l26HUP0WEUnC9tIjgxFgN,https://p.scdn.co/mp3-preview/6b33380310803efc128da75324691a2ebcef65d8?cid=2490920ce5574a1a9b97a3e366c39dd3,Out Of Style – Live Edition,2012-01-01,13,https://i.scdn.co/image/ab67616d00001e02e9be62fff4c23153c8db4fc2,https://open.spotify.com/album/6wLvTPehH9cpgGHqSLRscE,Sunrise Avenue,https://open.spotify.com/artist/1osZFzamKEXNoYk7HzWbDe
Paint It Black,2015-05-27T14:28:50Z,3:22,0,9,https://open.spotify.com/track/510cR0lj6vJNaROy3tcj1a,,Hot Rocks 1964-1971 (Remastered),1971-12-20,21,https://i.scdn.co/image/ab67616d00001e02629999e909936a974227f8aa,https://open.spotify.com/album/6bypvcRCAZpuo71YIH4yxE,The Rolling Stones,https://open.spotify.com/artist/22bE4uQ6baNwSHPVcDxLCe
Careless Whisper,2015-05-27T14:28:50Z,5:01,0,13,https://open.spotify.com/track/2eBcPwPWuJ5AEFrs1Sb4s3,,Finding Beauty In Negative Spaces (Explicit),2007,14,https://i.scdn.co/image/ab67616d00001e026f77c9c7db8ace92b9ed69b1,https://open.spotify.com/album/2uPtoi11SIEIqNCPGXDj5L,Seether,https://open.spotify.com/artist/6B5c4sch27tWHAGdarpPaW
