track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
2I9zHCCeKJRKMgJ6UJFN9W,11,0,4,163902,101.295,0.866,0.211,-12.676,0.0404,0.974,0.0,0.0987,0.198
1FNvsOtp6bnSOQTBgJOtha,7,1,4,234013,110.044,0.526,0.646,-9.939,0.0324,0.65,0.0232,0.0713,0.364
1jEy4S0PriJSPxBIc7XreS,5,0,4,263367,113.023,0.707,0.557,-8.848,0.0356,0.185,0.901,0.0999,0.124
2VXhNd2IzaR9ZtndCUq7hu,5,0,4,198413,102.377,0.732,0.728,-4.266,0.0308,0.00357,1.26e-06,0.0713,0.828
2zhfCGN6y15c4ArUHXi9g7,7,1,4,268854,130.835,0.626,0.333,-11.413,0.0365,0.824,0.0103,0.107,0.318
3ZqIhBa1ArLhkDrMOQfUNa,5,1,4,224907,95.006,0.683,0.791,-7.69,0.0723,0.321,2.51e-06,0.405,0.453
3xiMFRYBQL1zxdxbgUmBKI,2,1,4,196027,99.913,0.506,0.623,-5.725,0.0242,0.0101,3.93e-06,0.127,0.422
49uuX76cJwR4lrUFnDJTZV,2,0,4,266939,97.998,0.687,0.535,-9.228,0.0391,0.601,0.00722,0.125,0.2
4HfLQJtVT1KiX1eVedDyTm,9,0,4,188000,104.001,0.847,0.386,-10.668,0.0507,0.411,0.00176,0.108,0.178
4aai1PoVGPcspMhmzOzpZN,5,1,4,232120,178.091,0.53,0.534,-7.87,0.195,0.344,0.0,0.081,0.401
5EzGOkUwkRUXYAyvjlEHah,4,0,4,291303,123.143,0.288,0.454,-7.639,0.0369,0.585,0.882,0.177,0.0792
6mxTH1ebYmEQyWAbSY1LeG,11,0,4,374240,120.0,0.697,0.736,-6.594,0.0384,0.167,0.00878,0.124,0.42
7LqT7LqKsCh6epYR9UdAlP,10,0,4,228507,100.125,0.612,0.561,-7.038,0.0529,0.415,0.000758,0.104,0.446
6CKoWCWAqEVWVjpeoJXyNH,6,0,4,279227,83.936,0.537,0.373,-10.081,0.0331,0.691,0.000915,0.083,0.244
2ygvZOXrIeVL4xZmAWJT2C,8,1,4,208155,104.745,0.444,0.309,-10.956,0.062,0.795,0.132,0.352,0.0875
5nz8NVfvYxix6AIRrEaMbI,0,0,4,229613,180.033,0.607,0.856,-5.8,0.0728,0.105,0.0153,0.0891,0.369
7anBA0IdgFaN3Pbyk2tog0,7,1,4,235813,115.958,0.863,0.657,-7.295,0.105,0.264,0.00619,0.0713,0.829
2VxeLyX666F8uXCJ0dZF8B,7,1,4,215733,95.799,0.572,0.385,-6.362,0.0308,0.371,0.0,0.231,0.323
