song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Wait a Minute!,3:16,82.0,13.0,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh,,ARDIPITHECUS,2015-01-11,15.0,https://i.scdn.co/image/ab67616d00001e026ee651e65c3766d80e7fcab7,https://open.spotify.com/album/0wfne2JijoxJm0qzJd3V5h,WILLOW,https://open.spotify.com/artist/3rWZHrfrsPBxVy692yAIxF
The Weight Is Gone,3:32,44.0,2.0,https://open.spotify.com/track/2K1G9I3f0d28r1Ex0kSFyg,,About You,2018-06-01,13.0,https://i.scdn.co/image/ab67616d00001e02d260d8f017172b26d4013fd7,https://open.spotify.com/album/1t7FwYLSRY0gcMZvsndBVM,Albin Lee Meldau,https://open.spotify.com/artist/1AdKbbV5v6ifuJertEjNeK
Cherry,4:31,61.0,9.0,https://open.spotify.com/track/4sRmzVSedvFkENbSJ342Ex,https://p.scdn.co/mp3-preview/f0f6c06286db613d4440211bb368b2b36138feae?cid=2490920ce5574a1a9b97a3e366c39dd3,Cherry (Deluxe),2017-12-09,18.0,https://i.scdn.co/image/ab67616d00001e02f760c22b4b68d5d0616be34a,https://open.spotify.com/album/6OqegZkCUq29CJarqL8trP,Chromatics,https://open.spotify.com/artist/4tOVIRjlWWfR1RrAxyRqTE
We Are The People,4:27,60.0,4.0,https://open.spotify.com/track/57RHMnLMQx8Qz5V6c0E8dF,,Walking On A Dream (Special Edition),2009-01-01,22.0,https://i.scdn.co/image/ab67616d00001e02fffbc6bb8f405c2dacf8d64b,https://open.spotify.com/album/1GoqBRUPZzBKvMKZxSQ1mp,Empire of the Sun,https://open.spotify.com/artist/67hb7towEyKvt5Z8Bx306c
Kick Ass - Mika and Redone Tribute Version,3:12,30.0,1.0,https://open.spotify.com/track/7ifmQmhIkS1AcuaAgb1fHn,https://p.scdn.co/mp3-preview/701888d7af617194366ac718c11a8da8f0b4f0dd?cid=2490920ce5574a1a9b97a3e366c39dd3,Kick Ass - Mika and Redone Tribute Version,2010-05-06,1.0,https://i.scdn.co/image/ab67616d00001e02cb6f12791d81a5f3507715d6,https://open.spotify.com/album/6yB1HiyuVJH4R8Ypdr33pZ,2010 Movie Favorites,https://open.spotify.com/artist/2vXZGPmd4FIDKQq57mgAXl
Love Is A Battlefield,4:11,44.0,1.0,https://open.spotify.com/track/3DPJ8HfH6ktSgBf21pVquQ,,Premium Gold Collection,1998-01-01,20.0,https://i.scdn.co/image/ab67616d00001e0208ae628b57bef9f6429a6b72,https://open.spotify.com/album/0IPhq2iXwbqGUzTmpaysTo,Pat Benatar,https://open.spotify.com/artist/43mhFhQ4JAknA7Ik1bOZuV
Tranquility Base Hotel & Casino,3:32,58.0,4.0,https://open.spotify.com/track/2URDbWGmPz3vhagl25p8OC,https://p.scdn.co/mp3-preview/154fb32a10dabdad3512556e0fa48279604b5a3b?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
i love you,4:51,82.0,13.0,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
In My Spanish Hacienda,2:16,60.0,5.0,https://open.spotify.com/track/0QlDZA7P0Wjku30vHebrPU,https://p.scdn.co/mp3-preview/442226c713ede83aa0fb27701a12d61490d9569e?cid=2490920ce5574a1a9b97a3e366c39dd3,Relaxing Music,2017-05-12,14.0,https://i.scdn.co/image/ab67616d00001e020dfbc9b1b61097ebe0daf236,https://open.spotify.com/album/4owrox6fGHGbH3GfyjdfTo,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
American Sports,2:38,49.0,3.0,https://open.spotify.com/track/2HbYLDA1SigY1ilC94ieVu,https://p.scdn.co/mp3-preview/aa923f7fc63e04db25d28dbe6737614591bc9e1d?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Hills And Horizons,2:36,59.0,11.0,https://open.spotify.com/track/2OJawLs5ZIARF0xitufLhT,https://p.scdn.co/mp3-preview/10fba67222e78ac3591997be84175ccbaeb290e7?cid=2490920ce5574a1a9b97a3e366c39dd3,Relaxing Music,2017-05-12,14.0,https://i.scdn.co/image/ab67616d00001e020dfbc9b1b61097ebe0daf236,https://open.spotify.com/album/4owrox6fGHGbH3GfyjdfTo,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
The Ludlows,2:34,59.0,10.0,https://open.spotify.com/track/2RcFfAkh3x0oAF2rgYLoNl,https://p.scdn.co/mp3-preview/1f10ea0561c243944bc60967fde62f0df0e242ca?cid=2490920ce5574a1a9b97a3e366c39dd3,Relaxing Music,2017-05-12,14.0,https://i.scdn.co/image/ab67616d00001e020dfbc9b1b61097ebe0daf236,https://open.spotify.com/album/4owrox6fGHGbH3GfyjdfTo,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
when the party's over,3:16,85.0,7.0,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
New Moon (The Meadow),4:13,59.0,12.0,https://open.spotify.com/track/4GlWMkerBAgg4x4smEHGia,https://p.scdn.co/mp3-preview/3995216e3ec88327ca822f6d10d3e4d618f086d4?cid=2490920ce5574a1a9b97a3e366c39dd3,Relaxing Music,2017-05-12,14.0,https://i.scdn.co/image/ab67616d00001e020dfbc9b1b61097ebe0daf236,https://open.spotify.com/album/4owrox6fGHGbH3GfyjdfTo,Various Artists,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
The touch of your lips,8:19,49.0,5.0,https://open.spotify.com/track/4QwzVlAJSkcLeCNQ6Ug30P,https://p.scdn.co/mp3-preview/4670c73db86c18244c3c0c122d04a73f6f5ba3f4?cid=2490920ce5574a1a9b97a3e366c39dd3,The Touch Of Your Lips,1986,7.0,https://i.scdn.co/image/ab67616d00001e02e844e3295cea48820012db61,https://open.spotify.com/album/6c2YK2NhQfnN1eyVqxF5bm,Chet Baker,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T
Four Out Of Five,5:12,60.0,6.0,https://open.spotify.com/track/5Z5nbOXhsSbySVC7WUc6y9,https://p.scdn.co/mp3-preview/50649285856b2324b33046c6b1e03172ee90e808?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
She Looks Like Fun,3:02,47.0,9.0,https://open.spotify.com/track/60T4FDF1tTcFlXkI08FFhL,https://p.scdn.co/mp3-preview/dce5071b9d6e1dd3a61478db9dc66b64ce1b0efa?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Batphone,4:31,48.0,10.0,https://open.spotify.com/track/7aiKdAM9WYW3GzWSA9OXIl,https://p.scdn.co/mp3-preview/c05dc9b22471682a1ca545947c8c0c47911a4832?cid=2490920ce5574a1a9b97a3e366c39dd3,Tranquility Base Hotel & Casino,2018-05-10,11.0,https://i.scdn.co/image/ab67616d00001e02f7017fd086b1f27d90993175,https://open.spotify.com/album/7v6FNgLDS8KmaWA1amUtqe,Arctic Monkeys,https://open.spotify.com/artist/7Ln80lUS6He07XvHI8qqHH
Chan Chan,4:16,69.0,1.0,https://open.spotify.com/track/5sbw5zIz9ck2pOEDXUR0QU,https://p.scdn.co/mp3-preview/4ddf72b5a77f1baa4c8c1fcd5467940237506ec4?cid=2490920ce5574a1a9b97a3e366c39dd3,Buena Vista Social Club,1997-06-23,14.0,https://i.scdn.co/image/ab67616d00001e022a896bf89ee1e87f1a774cb6,https://open.spotify.com/album/6DPdEaZ0KDBCCgXyy4q8bi,Buena Vista Social Club,https://open.spotify.com/artist/11kBu957KTYoAltZHDm8gW
Adventure - Original Mix,5:19,55.0,1.0,https://open.spotify.com/track/7mxpWt3f6U2lG0uzlimbKG,https://p.scdn.co/mp3-preview/20d346145e3f817f6cd3a3655b62cd72fbe1e8a8?cid=2490920ce5574a1a9b97a3e366c39dd3,Adventure,2016-04-22,1.0,https://i.scdn.co/image/ab67616d00001e020ddc9ce5a8df300a2eae78d8,https://open.spotify.com/album/3cp7zy47OEnxEEaqNDtSkz,Izzamuzzic,https://open.spotify.com/artist/5EiDVD35ofoSKq1KE0jcs8
Days Of Wine And Roses,3:46,47.0,3.0,https://open.spotify.com/track/1yegDiVa8d94H07ga1SLOt,,Boss Guitar,1963,10.0,https://i.scdn.co/image/ab67616d00001e02d4762f58b8d8a2d9de508967,https://open.spotify.com/album/41Ymau5t3NA04iDRzdv3mR,Wes Montgomery,https://open.spotify.com/artist/03YhcM6fxypfwckPCQV8pQ
wish you were gay,3:41,79.0,6.0,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
Qué Sera Sera,4:12,30.0,4.0,https://open.spotify.com/track/3gGr5p7LdMK2a3Q03FwfG3,https://p.scdn.co/mp3-preview/a72b5f110140c3d0d24cfb66e3371725bdd7c148?cid=2490920ce5574a1a9b97a3e366c39dd3,Sympathique,1999-04-20,11.0,https://i.scdn.co/image/ab67616d00001e02b31bd144093d6e0ad94318a8,https://open.spotify.com/album/29MX9p2H3rBVdQAuSCQ8rc,Pink Martini,https://open.spotify.com/artist/6KyUat70qaniuiZq63HzFZ
When It Rains,6:36,49.0,1.0,https://open.spotify.com/track/7eYF1tAcKBvhJU4W9K0Uca,https://p.scdn.co/mp3-preview/61589e9f392064266564d91c26964b77cd844c87?cid=2490920ce5574a1a9b97a3e366c39dd3,Largo,2002-08-13,12.0,https://i.scdn.co/image/ab67616d00001e02a4c3e2ce4bb985d6c4a28f64,https://open.spotify.com/album/7i4wN3UGvFhr663Hpjgscx,Brad Mehldau,https://open.spotify.com/artist/2vI9KFm0fwSfPrpEgOeIbq
xanny,4:03,77.0,3.0,https://open.spotify.com/track/4QIo4oxwzzafcBWkKjDpXY,,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,14.0,https://i.scdn.co/image/ab67616d00001e0250a3147b4edd7701a876c6ce,https://open.spotify.com/album/0S0KGZnfBGSIssfF54WSJh,Billie Eilish,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH
