song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Ghost Love Score,2020-04-25T11:30:14Z,10:02,49,9,https://open.spotify.com/track/5dyQ8spGuggi5RBqhkUToy,https://p.scdn.co/mp3-preview/0ad3c3a1e5b69c6ca9205531c1c092d74c2f50b2?cid=2490920ce5574a1a9b97a3e366c39dd3,Once,2004-06-07,11,https://i.scdn.co/image/ab67616d00001e02c7190a75bf05ad902f52c7a2,https://open.spotify.com/album/2wM6svkNOCsYP8sr9gP2zc,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Wish I Had An Angel,2020-04-25T11:30:13Z,4:03,56,1,https://open.spotify.com/track/2VvmryAbIRod1FwZHtwqC5,https://p.scdn.co/mp3-preview/ba317532fbd476938015880ce08f83041116cff1?cid=2490920ce5574a1a9b97a3e366c39dd3,Highest Hopes-The Best Of Nightwish,2005-01-01,16,https://i.scdn.co/image/ab67616d00001e0215c43f478bf43c734225b814,https://open.spotify.com/album/2VjhAwhEZfKc0qMzgrc0Oj,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
The Phantom Of The Opera,2020-04-25T11:30:12Z,4:08,59,9,https://open.spotify.com/track/2WmbbiWfFEKsSZe6E5GeVe,https://p.scdn.co/mp3-preview/479e10cd442623203530bd22361fe7b225ce6fac?cid=2490920ce5574a1a9b97a3e366c39dd3,Century Child,2002,15,https://i.scdn.co/image/ab67616d00001e02fc452e32475d74850c7eec51,https://open.spotify.com/album/4FFDudC4xBVF6MYJUynRsN,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Ever Dream,2020-04-25T11:30:11Z,4:42,53,4,https://open.spotify.com/track/5SNDGulFALe3DpSbuYarl7,https://p.scdn.co/mp3-preview/d62a64a73b29ae6a67db699ed2207a4d6d13ec13?cid=2490920ce5574a1a9b97a3e366c39dd3,Century Child,2002,15,https://i.scdn.co/image/ab67616d00001e02fc452e32475d74850c7eec51,https://open.spotify.com/album/4FFDudC4xBVF6MYJUynRsN,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Dead To The World,2020-04-25T11:30:10Z,4:19,48,3,https://open.spotify.com/track/53f1Zi9zTs0nw5DwzR0mQx,https://p.scdn.co/mp3-preview/9741880301fbcea0c25523cc935da5d84d836ea4?cid=2490920ce5574a1a9b97a3e366c39dd3,Century Child,2002,15,https://i.scdn.co/image/ab67616d00001e02fc452e32475d74850c7eec51,https://open.spotify.com/album/4FFDudC4xBVF6MYJUynRsN,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
End of All Hope - Remastered,2020-04-25T11:30:09Z,4:23,35,12,https://open.spotify.com/track/0Zy7VPc6nbt5oZ44RjMNWt,https://p.scdn.co/mp3-preview/1ad1da88b4d07dde8f7fddc681029b0667013f05?cid=2490920ce5574a1a9b97a3e366c39dd3,Decades,2018-03-09,22,https://i.scdn.co/image/ab67616d00001e020b54da220db8e0973d803ef1,https://open.spotify.com/album/7maywFP1bQZyit0l9l0VHb,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Bless The Child,2020-04-25T11:30:06Z,6:12,45,1,https://open.spotify.com/track/5EGh7JiX79SeHn9J1yn2UX,https://p.scdn.co/mp3-preview/dc32ab483d3be75e02d76e1c44003525aae94111?cid=2490920ce5574a1a9b97a3e366c39dd3,Century Child,2002,15,https://i.scdn.co/image/ab67616d00001e02fc452e32475d74850c7eec51,https://open.spotify.com/album/4FFDudC4xBVF6MYJUynRsN,Nightwish,https://open.spotify.com/artist/2NPduAUeLVsfIauhRwuft1
Black Rose,2020-04-25T11:30:03Z,3:46,20,4,https://open.spotify.com/track/3qFsibY9tB31xwjVox71I6,https://p.scdn.co/mp3-preview/86938c51dabdf387655adf1f9ea47fc1f8d6010c?cid=2490920ce5574a1a9b97a3e366c39dd3,Lost Horizons (Luca Turilli's Dream Quest),2006-06-09,13,https://i.scdn.co/image/ab67616d00001e02ae434f75e910a94198d3997b,https://open.spotify.com/album/1Qyat1GsRfOOKxpSVp2Wth,Luca Turilli,https://open.spotify.com/artist/2jqA2OsMhBDu0M2GLDIvsH
Never Enough,2020-04-25T11:30:02Z,4:47,47,5,https://open.spotify.com/track/4sIWOzf7LxpuGInB68CrLl,https://p.scdn.co/mp3-preview/6199908261b6ac997f60cd7142dd9a4897602b49?cid=2490920ce5574a1a9b97a3e366c39dd3,The Divine Conspiracy,2007-09-07,13,https://i.scdn.co/image/ab67616d00001e021b2cbc41b7cae00adda0a746,https://open.spotify.com/album/0GCDjxk7URd6Glt4mg1EgP,Epica,https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp
Nightfall,2020-04-25T11:30:01Z,3:56,45,2,https://open.spotify.com/track/3DOlNrpMJdaIsLQv58WjEq,https://p.scdn.co/mp3-preview/f7616550864280f9435aeb6bacf3812d130a1ede?cid=2490920ce5574a1a9b97a3e366c39dd3,Sacrificium,2014-05-02,12,https://i.scdn.co/image/ab67616d00001e02a36ef91404d1c823a87be319,https://open.spotify.com/album/5A10QhoP2eGxd8mdhZL2VF,Xandria,https://open.spotify.com/artist/1jzIEzXVJ4p1kFDmio6LEL
