track_id,key,mode,time_signature,duration_ms,tempo,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence
491JAfxdUmokyNXVAHvaKY,9,0,3,416520,155.516,0.317,0.382,-6.062,0.0298,0.399,0.0041,0.206,0.0932
0C8SSfZIRllA7yF8o9oq7x,10,0,4,270053,115.652,0.424,0.482,-6.244,0.0312,0.328,9.28e-06,0.154,0.0566
1ojotvJWLsbEsmLV6gl0cM,0,1,4,309267,76.003,0.446,0.798,-7.089,0.0365,0.00147,0.0,0.102,0.642
5Gh42UxuBfVPmrEtriF9ho,3,1,4,307293,143.984,0.457,0.975,-3.489,0.0889,0.000396,0.115,0.0767,0.239
6v12qdjliHhEz4AyyYggZ7,8,0,4,276000,119.985,0.373,0.842,-7.915,0.0694,0.000161,0.878,0.362,0.105
3cltha6ZPutKM8YmRBBb9L,1,0,4,300360,101.169,0.579,0.914,-6.253,0.0383,9.84e-05,0.000901,0.153,0.504
2plihDAfGT5w8vCxcXjztO,5,0,4,234579,175.088,0.482,0.922,-8.763,0.0863,0.00021,0.00961,0.408,0.528
1r2ZbUtoHCdbh7fh5EXopm,2,1,4,323213,148.354,0.167,0.864,-5.012,0.0561,3.77e-05,0.801,0.112,0.168
3xRnjRUsg5fGseA2PeDd5I,11,0,4,253508,151.926,0.157,0.421,-12.4,0.038,0.263,0.0249,0.122,0.102
1mMTrYle62J5peGGsVbdm6,6,0,4,230067,128.98,0.544,0.837,-4.618,0.0465,0.0596,0.0,0.0698,0.159
2zV5yrH79u2FGfKStUEt84,0,0,4,231733,89.973,0.538,0.847,-4.095,0.042,0.00157,0.0,0.154,0.514
4trKcjZo795LQ45pjzdxWm,11,1,4,273566,143.052,0.427,0.992,-2.642,0.101,1.63e-05,0.944,0.108,0.267
6kRRk90BugN8uSfTjar4hV,7,0,3,395297,71.582,0.336,0.0357,-21.608,0.0495,0.985,0.857,0.0639,0.0922
51CnA1CmnXkQH0GsbCaMoO,7,1,4,245641,120.01,0.525,0.993,-3.044,0.0608,0.000465,9.58e-05,0.577,0.535
3b6COldjMVzUzdsVrk3qKh,7,1,4,154929,120.02,0.429,0.909,-6.349,0.0477,4.09e-05,0.698,0.318,0.222
6vzi2VdyRFaD70XSNXTAo1,2,0,4,658800,98.9,0.254,0.561,-10.107,0.0365,0.0374,0.834,0.355,0.14
