song_name,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
Haunting Symphony,3:53,25.0,3.0,https://open.spotify.com/track/3HdQl6NhCMreTaLWplHsOz,https://p.scdn.co/mp3-preview/ea44762c4f6129a329e3fad1fd24d3027368418e?cid=2490920ce5574a1a9b97a3e366c39dd3,Crimson,2020-04-24,10.0,https://i.scdn.co/image/ab67616d00001e02c3907d803f5a7d82f2f87f76,https://open.spotify.com/album/4o8gUdyv2kqeQSXhirglHU,Volturian,https://open.spotify.com/artist/1kaSMA4dkMLk11AoMUQdoJ
The Connection,4:40,27.0,5.0,https://open.spotify.com/track/492ebv4twg0VjsMgRwwk8B,https://p.scdn.co/mp3-preview/d1024d9dcf4523ed0576ad864e838457c80cef47?cid=2490920ce5574a1a9b97a3e366c39dd3,Venom,2016-03-21,7.0,https://i.scdn.co/image/ab67616d00001e024e7b0891ba3ef2ba16017d9c,https://open.spotify.com/album/2m1jnt85SigOHlBUi4TJv5,Lost Years,https://open.spotify.com/artist/04an0WtFSvVqQkGrgIxq1Y
Trigger,4:58,53.0,4.0,https://open.spotify.com/track/4R3jnxlZwFrIMq2YYoFJFi,https://p.scdn.co/mp3-preview/0be37173f60ff2fe3a0620faa0987c20af412e02?cid=2490920ce5574a1a9b97a3e366c39dd3,Reroute to Remain,2002-09-02,14.0,https://i.scdn.co/image/ab67616d00001e02e388f5608715802c0421ecb8,https://open.spotify.com/album/2V5Jx67RInNn2v0LGihiWh,In Flames,https://open.spotify.com/artist/57ylwQTnFnIhJh4nu4rxCs
Heroes Among Us,4:33,7.0,3.0,https://open.spotify.com/track/4Yhw9ngJk9tEyF5YKlSzuq,https://p.scdn.co/mp3-preview/16040d28468ac354e4a854ed42e3f92543483603?cid=2490920ce5574a1a9b97a3e366c39dd3,Kings Among Men,2014-08-29,10.0,https://i.scdn.co/image/ab67616d00001e02accecc9aee91a75ae0c4d5eb,https://open.spotify.com/album/03SNZfJCb3670O0pmOb1am,Crimson Shadows,https://open.spotify.com/artist/1H3YohuDrK3djO7Oiqcl2h
Sadness and Hate,10:16,32.0,8.0,https://open.spotify.com/track/4cN0IBNbFkq0srzoyNOC4C,https://p.scdn.co/mp3-preview/9ae57247f06c68d99c97ed2cea17a0c16f9248f8?cid=2490920ce5574a1a9b97a3e366c39dd3,Wintersun,2004-09-13,8.0,https://i.scdn.co/image/ab67616d00001e023f6b821335fde5ee3999f4e9,https://open.spotify.com/album/5vlG5D2TCZzvWYAevPVYCI,Wintersun,https://open.spotify.com/artist/6ui6SwChan7c1KYBQCqGKV
Scene Nine: Finally Free,11:59,42.0,12.0,https://open.spotify.com/track/77a7YkuBz7a5UiEhBMe1xp,https://p.scdn.co/mp3-preview/41dae6914da01635210039ed463b0a125818a0ef?cid=2490920ce5574a1a9b97a3e366c39dd3,"Metropolis, Pt. 2: Scenes from a Memory",1999-01-01,12.0,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,https://open.spotify.com/album/1QZi8laY96nhaeGSklvN4D,Dream Theater,https://open.spotify.com/artist/2aaLAng2L2aWD2FClzwiep
Admiral Over The Oceans,4:49,20.0,7.0,https://open.spotify.com/track/7KyC33COUXregEdZaVy6Z2,https://p.scdn.co/mp3-preview/4cac82f20b72183834e270ddae0a0e5a4127399b?cid=2490920ce5574a1a9b97a3e366c39dd3,Gods And Generals,2015-05-08,12.0,https://i.scdn.co/image/ab67616d00001e02abff19ab7c7fb1023f6ec949,https://open.spotify.com/album/4qR64lFYU770My5RL6uPm7,Civil War,https://open.spotify.com/artist/6lGzC0JJCotCU9QZ2Lgi8T
Other Worlds,4:37,49.0,4.0,https://open.spotify.com/track/33YVzy4bZQCFrTK176It75,https://p.scdn.co/mp3-preview/616838cd7afc031f20b77a951ebed3b2346361d7?cid=2490920ce5574a1a9b97a3e366c39dd3,Other Worlds,2015-12-07,12.0,https://i.scdn.co/image/ab67616d00001e02accd4ea7a3fd314b770d278a,https://open.spotify.com/album/2Ca7uRqRNZ9TcT2dUZOrAK,Really Slow Motion,https://open.spotify.com/artist/4dDb2XLONSNrTrucRcoaYM
Guardians At the Gate,2:08,59.0,1.0,https://open.spotify.com/track/4MUN6PQPplQDajjx7NCcdr,https://p.scdn.co/mp3-preview/6a3d7653716094e7303830495c260abdfbb3e294?cid=2490920ce5574a1a9b97a3e366c39dd3,Chronicles,2012-03-23,28.0,https://i.scdn.co/image/ab67616d00001e02b2e5eb4dfb5d1cb7c90526b9,https://open.spotify.com/album/2reQVSlAob2ZP8T4Oa7AsR,Audiomachine,https://open.spotify.com/artist/5F4ObszoeVebqtc0B3XqJa
Invincible,2:51,52.0,10.0,https://open.spotify.com/track/0Z7VY2YzJdYThjXcMrH9Gh,https://p.scdn.co/mp3-preview/7614b697649bdec66287e8cf5df6739ed52e7d09?cid=2490920ce5574a1a9b97a3e366c39dd3,Invincible,2010-05-03,22.0,https://i.scdn.co/image/ab67616d00001e028f5636c9f7c8e432f81fe29a,https://open.spotify.com/album/0zOdkaCbYN1B42zw8TUYlY,Two Steps from Hell,https://open.spotify.com/artist/2qvP9yerCZCS0U1gZU8wYp
Raising the Damned,2:27,34.0,1.0,https://open.spotify.com/track/3wtoQWo5ZMG1BKID0hIA6x,https://p.scdn.co/mp3-preview/2898b43ef7e72f68be478370a18ca24d401b39ce?cid=2490920ce5574a1a9b97a3e366c39dd3,Raising the Damned,2015-02-12,10.0,https://i.scdn.co/image/ab67616d00001e027ca4cd78c471389e5b87479f,https://open.spotify.com/album/2CXC1R60xvqTQjt2FYb0Cj,Damned Anthem,https://open.spotify.com/artist/3C0PKxcP1f25siYFYiyHa1
