song_name,added_at,song_duration,song_popularity,song_number_in_album,song_external_url,song_preview_url,album_name,album_release_date,album_total_tracks,album_image_url,album_external_url,artist_name,artist_external_url
"How Near, How Far",2020-10-02T14:16:33Z,3:54,28,6,https://open.spotify.com/track/1aklIImvCquLWbkOeGteRe,https://p.scdn.co/mp3-preview/4f740f2a8b0867e09a6dff86b2c496c6371c88f4?cid=2490920ce5574a1a9b97a3e366c39dd3,Source Tags & Codes,2002-02-26,13,https://i.scdn.co/image/ab67616d00001e025ab838ce34796b2760bb178a,https://open.spotify.com/album/5MoRknF2tJPoY0yM0sKmra,...And You Will Know Us by the Trail of Dead,https://open.spotify.com/artist/6wBUn8gMP85n8dPu6LoUcF
Play That Funky Music,2020-09-30T12:26:16Z,5:00,68,1,https://open.spotify.com/track/5uuJruktM9fMdN9Va0DUMl,https://p.scdn.co/mp3-preview/9084c1e6e8ed1e92ec3bb19a9f42bf5f8826763d?cid=2490920ce5574a1a9b97a3e366c39dd3,Wild Cherry,1976,9,https://i.scdn.co/image/ab67616d00001e02d419ed4f1e89669ce14bd369,https://open.spotify.com/album/27ompw8zlrCkWMacS21ysX,Wild Cherry,https://open.spotify.com/artist/4apX9tIeHb85yPyy4F6FJG
Fell In Love With a Girl,2020-09-19T22:14:52Z,1:50,51,4,https://open.spotify.com/track/1yjr0GeoqGPejLg5P9g8Qe,,White Blood Cells,2001-07-03,16,https://i.scdn.co/image/ab67616d00001e02744b1f1c507e8e622453e847,https://open.spotify.com/album/5JyPtQWQrZ9csShZNUyXrO,The White Stripes,https://open.spotify.com/artist/4F84IBURUo98rz4r61KF70
Gouge Away,2020-09-10T19:24:51Z,2:45,57,15,https://open.spotify.com/track/1YZDkJOFT8xlAXDi8lneb3,https://p.scdn.co/mp3-preview/091efae2fbbb3d84a23b17821b11357ce3c877fe?cid=2490920ce5574a1a9b97a3e366c39dd3,Doolittle,1989-04-17,15,https://i.scdn.co/image/ab67616d00001e02d27159df96ec159cc7d70080,https://open.spotify.com/album/6ymZBbRSmzAvoSGmwAFoxm,Pixies,https://open.spotify.com/artist/6zvul52xwTWzilBZl6BUbT
Smash It Up,2020-09-10T19:02:19Z,3:14,33,3,https://open.spotify.com/track/1RNLDw8yweoEZUo7KvuAMa,https://p.scdn.co/mp3-preview/9ab4c645ad072749b8e87a9fcb91028175db84f9?cid=2490920ce5574a1a9b97a3e366c39dd3,Survival Sickness,2000,12,https://i.scdn.co/image/ab67616d00001e027ee3c7f22f866727913d9e0e,https://open.spotify.com/album/2SlJVIztr1KCS9dmKhJzEy,The (International) Noise Conspiracy,https://open.spotify.com/artist/0ZcJYGAQ2R3w7BWzbDDGDx
Owlwood,2020-09-09T18:15:20Z,6:45,10,2,https://open.spotify.com/track/4BZSaqzmgEzkIWEcoVRQU7,https://p.scdn.co/mp3-preview/2e523425606cc44860ba2034c792d9a103f4dfbe?cid=2490920ce5574a1a9b97a3e366c39dd3,Live at the Scala,2019-04-19,10,https://i.scdn.co/image/ab67616d00001e027d42d3304918527857a62199,https://open.spotify.com/album/72jszBHvXGh1gHkTcUEfAN,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
Fugitive,2020-09-05T10:49:53Z,8:03,19,3,https://open.spotify.com/track/0yolvPyB2Ay3VVteI0G5g9,https://p.scdn.co/mp3-preview/92dab5cc9be528fbf8d065138143ace87427c7c3?cid=2490920ce5574a1a9b97a3e366c39dd3,Noir,2006,8,https://i.scdn.co/image/ab67616d00001e020c2d55dcb5ef22b0f2ecb9b2,https://open.spotify.com/album/4zuvrBPgVxbFMWb2G2UEhp,Callisto,https://open.spotify.com/artist/4ybKgPHm2IPUSWP8LIxNSK
Anyone Can Play Guitar,2020-09-05T10:04:44Z,4:04,29,2,https://open.spotify.com/track/2MTtwbgylcxaViSP099LdS,https://p.scdn.co/mp3-preview/2eddd349b7cfcdaf3283bdba6c2d031a4777caa8?cid=2490920ce5574a1a9b97a3e366c39dd3,Forever,2020-04-10,6,https://i.scdn.co/image/ab67616d00001e02876284f936fd232493e9a3cf,https://open.spotify.com/album/2P71q1cH8pCpiBvQNnkZMJ,Midwife,https://open.spotify.com/artist/5vjIHa1u3TnOlDvVDR9qQa
To Carry the Flame,2020-09-05T00:53:48Z,4:31,27,4,https://open.spotify.com/track/0hhTYwlqstrTOKe48V24EC,https://p.scdn.co/mp3-preview/d036bb73078e3b43affb599376af9e4acd4a9f54?cid=2490920ce5574a1a9b97a3e366c39dd3,No,2012-06-26,9,https://i.scdn.co/image/ab67616d00001e02ca393669590cfb63e036b7c3,https://open.spotify.com/album/6jg3GOJ0vkwsAFvL5JJv5k,Old Man Gloom,https://open.spotify.com/artist/1Rc7L8nr2gvXKlqDL4tVKj
All We Love We Leave Behind,2020-09-04T23:48:47Z,4:07,38,15,https://open.spotify.com/track/38ekh7ER21LsbR3pdhabu8,https://p.scdn.co/mp3-preview/0007a04b7ec7110653f832744cab71e650de3d87?cid=2490920ce5574a1a9b97a3e366c39dd3,All We Love We Leave Behind (Deluxe Edition),2012-10-09,17,https://i.scdn.co/image/ab67616d00001e0266453b97af3d62148b1fdb5e,https://open.spotify.com/album/28DI3wfImTqTrHkPiOa0PI,Converge,https://open.spotify.com/artist/7kHzfxMLtVHHb523s43rY1
Children of the Eye,2020-08-31T08:52:41Z,9:41,32,1,https://open.spotify.com/track/7fSa3EJcTzkqPN4NZP3LlT,https://p.scdn.co/mp3-preview/6392ea37f580cbe3851fb788b6c80d83bc5f8bad?cid=2490920ce5574a1a9b97a3e366c39dd3,Mass VI,2017-10-20,6,https://i.scdn.co/image/ab67616d00001e027f0db237ee593dc3baf802bf,https://open.spotify.com/album/0SMyxJrTh7qYDCMIZTOwo3,Amenra,https://open.spotify.com/artist/0N1jE1EIrhZjvQSfuLupUu
Sleep Deprivation,2020-08-31T07:04:48Z,4:59,43,1,https://open.spotify.com/track/6TTViB62ZhFuGrGhQ5xj0w,https://p.scdn.co/mp3-preview/da7adf4ee81fe6e40f681c4591257857b9eaa21f?cid=2490920ce5574a1a9b97a3e366c39dd3,Attack Decay Sustain Release,2007-01-01,10,https://i.scdn.co/image/ab67616d00001e02fb3fb5953cac5b8e6a4622f2,https://open.spotify.com/album/6G56ZV8joonDhjTRlnwrIc,Simian Mobile Disco,https://open.spotify.com/artist/31DXlldabwPHwu6dYevuzK
.Némelèndèlle.,2020-08-28T15:39:56Z,7:38,20,2,https://open.spotify.com/track/0cZiRSOfk8xe0LaXztdmut,https://p.scdn.co/mp3-preview/5e26418baab75e1e8d50bfb4ed90c932d97d2261?cid=2490920ce5574a1a9b97a3e366c39dd3,Mass III,2011-02-27,6,https://i.scdn.co/image/ab67616d00001e0297668900743f922e6df7a259,https://open.spotify.com/album/17DLqqwMfej9vOeYGdDnrv,Amenra,https://open.spotify.com/artist/0N1jE1EIrhZjvQSfuLupUu
Dickhead,2020-07-17T17:23:57Z,5:58,32,1,https://open.spotify.com/track/34uwL0ulkK25wNFeilwXYa,https://p.scdn.co/mp3-preview/20c98a730bb9b96ab6f1efb60b375f166dd45457?cid=2490920ce5574a1a9b97a3e366c39dd3,All Is Chaos,2011-03-06,10,https://i.scdn.co/image/ab67616d00001e02cabcbe3f68d9befefb064360,https://open.spotify.com/album/7wzToSswbfwpwGx2OzdeO9,Steak Number Eight,https://open.spotify.com/artist/5IhRC86twNb6XePyW4i05E
Passing Through,2020-07-13T12:47:04Z,6:03,37,9,https://open.spotify.com/track/7HgOVPbpCyHzVr1ayZloXr,https://p.scdn.co/mp3-preview/61e82da28e6fa7654e62571a6a814911ca35b380?cid=2490920ce5574a1a9b97a3e366c39dd3,Vertikal,2013-01-29,9,https://i.scdn.co/image/ab67616d00001e02d87ccbe34f43e299050f89c8,https://open.spotify.com/album/3TsA6xRDYRAm6ju9Y7fBYA,Cult Of Luna,https://open.spotify.com/artist/7E7fJJpdVgr1F3pfAfRtHe
